like1,like2,like3,like4,like5,like6,like7,like8,like9,like10,like11,like12,like13,like14,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,chain
13.46,0.521,0.00797,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.805,3.184,0.32,0.1835,0.406,0.02031,32.66,0.011055,4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,0.01958,3.188,1.0
15.72,0.5127,0.00797,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.812,3.889,0.3293,0.1882,0.4116,0.01959,34.9,0.01962,1.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,0.01272,2.48,1.0
29.75,0.2164,0.0077,0.0001204,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.285,0.379,0.1931,0.417,0.01886,48.94,0.3157,0.0002718,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2e-05,0.08527,1.0
32.53,1.156,0.0002208,9.83e-05,1.3e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.367,0.4287,0.1979,0.4226,0.01814,51.75,1.688,0.00775,2.23e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,0.001982,1.0
28.83,4.297,0.06384,0.000557,4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4783,0.2026,0.4282,0.01743,48.03,4.832,0.07184,0.000677,5.36e-06,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.436e-05,1.0
29.78,3.467,0.04263,0.0002906,1.43e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.37,0.4722,0.2075,0.4338,0.01671,48.97,3.998,0.0506,0.0004113,2.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002043,1.0
30.89,0.5317,0.004307,0.00011235,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.348,0.4226,0.2123,0.4395,0.01599,50.1,1.063,0.003664,8.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305e-05,0.0235,1.0
21.25,0.4026,0.007904,0.0001205,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.82,5.08,0.373,0.217,0.445,0.01527,40.47,0.1295,7.02e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,0.006092,1.291,1.0
1.6,0.5283,0.00797,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.7275,3.686,5.23,0.3235,0.2219,0.4507,0.01455,20.8,0.00404,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000531,1.14,11.6,1.0
1.387,0.528,0.00797,0.0001206,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.727,3.498,5.56,0.3262,0.2267,0.4563,0.013824,20.58,0.004417,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000786,1.328,11.93,1.0
17.81,0.4275,0.00791,0.0001205,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.797,3.588,0.3757,0.2314,0.462,0.01311,37.0,0.1046,5.645e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-06,0.02916,2.781,1.0
27.14,0.197,0.0057,0.00011575,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.14,0.4255,0.2363,0.4675,0.01238,46.34,0.729,0.002272,4.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000526,0.2272,1.0
29.28,1.991,0.01897,7.75e-05,1e-07,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.355,0.475,0.2411,0.4731,0.011665,48.47,2.523,0.02695,0.000198,1.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234e-05,0.01448,1.0
28.97,1.831,0.01662,5.716e-05,3e-07,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,6.348,0.4753,0.2458,0.4788,0.01095,48.16,2.363,0.0246,0.0001777,1.13e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.575e-05,0.0235,1.0
24.38,0.02695,0.0064,0.0001175,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.824,5.68,0.4258,0.2507,0.4844,0.01022,43.56,0.559,0.001572,3.1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,0.003477,0.6914,1.0
11.24,0.4731,0.00795,0.0001205,1.4e-06,0.0,0.0,0.0,0.0,6e-08,0.00391,0.728,4.516,1.468,0.3762,0.2554,0.49,0.00951,30.44,0.059,2.587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001187,0.3113,7.836,1.0
