like1,parn,parD,parq,parLambda,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,chain
-58.53,0.423,0.3796,0.3345,0.01836,32.3,13.85,2.285,0.3042,0.03748,0.004456,0.000521,0.0,0.0,0.0,0.0,0.0,2.44e-06,0.000675,0.001601,0.02641,0.282,1.213,2.695,2.0
-48.34,0.4094,0.6567,0.4995,0.005905,27.56,2.883,0.1846,0.0107,0.0006013,3.34e-05,1.85e-06,0.0,0.0,0.0,5.33e-05,0.0369,1.094,5.367,6.35,8.58,6.49,2.912,0.8945,3.0
-28.12,0.3013,0.4763,0.4456,0.00908,19.1,0.1531,0.0005913,1.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002751,0.3745,6.562,9.586,8.41,2.967,0.3267,0.01747,0.0005527,4.0
-58.22,0.4546,0.3682,0.4634,0.02289,37.03,3.752,0.1415,0.00427,0.00011873,3.16e-06,6e-08,0.0,0.0,0.0,0.0,8.3e-07,0.001674,0.1316,0.2408,1.385,3.822,4.133,2.264,0.0
-71.1,0.4045,0.1387,0.3977,0.02534,59.53,0.5522,0.0002933,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91e-05,0.0002352,0.0516,1.92,5.883,2.936,1.0
-58.25,0.4336,0.3652,0.3538,0.02109,33.47,12.06,1.604,0.1699,0.0166,0.001563,0.0001445,0.0,0.0,0.0,0.0,0.0,3.2e-06,0.0009427,0.002245,0.03665,0.3691,1.446,2.85,2.0
-43.16,0.3127,0.6704,0.3892,0.01217,25.94,2.44,0.1423,0.00754,0.000388,1.97e-05,1e-06,0.0,0.0,0.0,9.54e-05,0.04993,1.192,4.895,5.605,6.695,4.402,1.736,0.4722,3.0
-52.56,0.3928,0.4626,0.4622,0.01359,31.86,1.93,0.05484,0.00132,3e-05,6.6e-07,0.0,0.0,0.0,0.0,6e-08,0.001239,0.2048,2.62,3.523,6.777,6.047,2.562,0.6323,4.0
-27.03,0.3306,0.2534,0.462,0.02965,19.83,0.00934,9.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001375,0.9824,6.49,6.406,2.297,0.1157,0.001491,7.1e-06,0.0
-52.25,0.3823,0.3494,0.4639,0.02164,32.56,0.639,0.00439,2.37e-05,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0001713,0.1098,2.363,3.291,6.11,3.846,0.9014,0.1031,1.0
-58.7,0.4421,0.2698,0.3523,0.02786,34.9,11.5,0.9336,0.05466,0.002832,0.0001386,6.6e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.65e-05,5.53e-05,0.00278,0.0751,0.5625,1.663,2.0
-58.1,0.455,0.4836,0.3892,0.01217,32.34,11.836,2.113,0.3225,0.04666,0.006596,0.000923,0.0,0.0,0.0,0.0,5.4e-07,0.0003774,0.02336,0.0435,0.314,1.524,3.63,5.156,3.0
-54.88,0.3003,0.2178,0.4917,0.0188,4.76,1.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-07,0.3506,12.2,1.819,0.7896,0.008995,4.6e-06,0.0,0.0,4.0
-16.6,0.3218,0.3687,0.4634,0.02289,19.23,0.0586,6.65e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.16e-06,0.05124,2.994,7.027,6.38,2.215,0.1831,0.005943,9.77e-05,0.0
-21.97,0.3115,0.363,0.444,0.02014,20.33,0.067,8.094e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,0.03818,2.795,7.82,7.32,2.848,0.2668,0.00967,0.0001757,1.0
-57.78,0.4421,0.4585,0.2976,0.02794,24.2,16.94,5.51,1.516,0.3933,0.0995,0.02487,0.0,0.0,0.0,0.0,0.0,6.6e-07,9.77e-05,0.0002159,0.00301,0.0317,0.1575,0.4531,2.0
-58.66,0.4226,0.6494,0.266,0.01874,21.89,17.22,8.23,3.55,1.485,0.614,0.2527,0.0,0.0,0.0,0.0,1e-07,2.92e-05,0.001124,0.002005,0.0139,0.0807,0.276,0.643,3.0
-39.03,0.309,0.471,0.4263,0.009346,23.97,0.3923,0.00306,2.027e-05,1e-07,0.0,0.0,0.0,0.0,0.0,2.44e-05,0.07776,3.031,9.57,9.77,6.29,1.452,0.1614,0.01055,4.0
-31.97,0.3218,0.3687,0.4417,0.02289,23.17,0.1344,0.0002909,5e-07,0.0,0.0,0.0,0.0,0.0,0.0,4e-07,0.01313,1.462,6.535,6.746,3.924,0.618,0.0382,0.001197,0.0
-56.03,0.4548,0.47,0.444,0.02014,33.22,6.37,0.581,0.04504,0.003302,0.0002362,1.67e-05,0.0,0.0,0.0,0.0,8.76e-06,0.00407,0.1521,0.2544,1.179,3.205,4.188,3.215,1.0
-55.38,0.4531,0.4585,0.3857,0.02794,30.52,10.164,1.575,0.2064,0.0255,0.003073,0.0003657,0.0,0.0,0.0,0.0,1e-07,0.0001245,0.00917,0.01747,0.1345,0.675,1.596,2.188,2.0
-52.12,0.4148,0.5835,0.4646,0.01217,30.14,3.977,0.2966,0.01964,0.001249,7.83e-05,4.9e-06,0.0,0.0,0.0,1.1e-06,0.002728,0.2014,1.96,2.61,5.38,6.36,4.17,1.783,3.0
-57.25,0.418,0.3962,0.4946,0.005524,35.06,1.408,0.0228,0.0003011,3.7e-06,6e-08,0.0,0.0,0.0,0.0,0.0,0.000423,0.167,3.312,4.695,10.164,8.984,3.326,0.6543,4.0
-16.78,0.3218,0.3687,0.4634,0.0237,19.16,0.0581,6.574e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-06,0.0502,2.922,6.832,6.195,2.145,0.1765,0.005707,9.34e-05,0.0
-45.16,0.3213,0.5264,0.3965,0.02019,27.6,1.555,0.04584,0.001176,2.88e-05,7e-07,0.0,0.0,0.0,0.0,2.86e-06,0.00887,0.539,3.459,4.16,5.457,3.383,1.091,0.2189,1.0
-57.66,0.444,0.6396,0.3115,0.0164,24.44,16.14,6.42,2.303,0.799,0.274,0.09344,0.0,0.0,0.0,0.0,6.6e-07,0.0001434,0.004898,0.008514,0.05283,0.2644,0.774,1.533,2.0
-46.0,0.3215,0.575,0.388,0.01894,27.6,2.225,0.1004,0.00401,0.0001538,5.8e-06,2.4e-07,0.0,0.0,0.0,5.5e-06,0.009895,0.4863,3.06,3.727,5.336,3.96,1.617,0.4277,3.0
-48.8,0.3066,0.6694,0.3833,0.002386,27.11,2.604,0.1549,0.00837,0.000439,2.277e-05,1.2e-06,0.0,0.0,0.0,0.0001264,0.06836,1.68,7.074,8.14,9.91,6.668,2.69,0.747,4.0
-59.62,0.489,0.3687,0.4634,0.01753,37.72,6.332,0.3965,0.01985,0.000917,4.08e-05,1.8e-06,0.0,0.0,0.0,0.0,6e-08,0.0002718,0.0352,0.07117,0.6113,2.787,4.984,4.52,0.0
-21.97,0.3115,0.363,0.444,0.02014,20.33,0.067,8.094e-05,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-06,0.03818,2.795,7.82,7.32,2.848,0.2668,0.00967,0.0001757,1.0
-66.0,0.4521,0.1997,0.432,0.02536,49.1,2.322,0.01575,6.723e-05,2.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.000475,0.001747,0.0927,1.522,4.42,3.648,2.0
-44.0,0.33,0.58,0.4043,0.02196,26.64,1.96,0.0812,0.00298,0.00010514,3.64e-06,1e-07,0.0,0.0,0.0,8.6e-06,0.01304,0.5566,3.094,3.678,4.812,3.209,1.183,0.2834,3.0
